Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Netherlands,Fm Sudan,Export,Food Products,Export (US$ Thousand),828.789,1134.009,932.729,1292.78,641.793,1907.155,1918.942,1331.085,1408.385,3842.773,3680.914,5854.208,9122.981,8111.198,14709.248,11777.466,11561.709,13472.847,20098.962,25937.512,,
Netherlands,Fr. So. Ant. Tr,Export,Food Products,Export (US$ Thousand),,,,,,,,,,,63.301,,46.032,63.428,28.895,48.049,104.624,62.788,34.484,70.753,0.679,
Netherlands,France,Export,Food Products,Export (US$ Thousand),1726321.448,1597025.66,1927902.488,2298584.084,2298818.048,2008119.536,1804798.7,2040998.121,1885785.355,1870376.918,2326606.837,2543385.241,2476973.212,2615733.888,2845888.817,3378413.945,3667366.257,3388269.019,3492834.815,4221912.251,3869966.072,4127271.771
Netherlands,French Guiana,Export,Food Products,Export (US$ Thousand),5802.551,5408.585,5465.635,6929.725,,,,,,,,,,,,,,,,,,
Netherlands,French Polynesia,Export,Food Products,Export (US$ Thousand),1902.463,891.122,781.096,880.168,673.984,2241.513,766.057,841.953,499.839,636.879,410.986,3422.494,3441.179,2127.915,1669.677,2230.841,3734.052,3944.464,4017.406,4055.003,3731.265,3086.724
Netherlands,Gabon,Export,Food Products,Export (US$ Thousand),2685.183,2703.355,2492.735,2972.564,4361.98,4521.479,3538.414,4587.753,3978.46,4050.587,4117.409,4481.139,4374.254,5201.018,5982.699,8370.115,10281.168,10320.905,14789.728,20029.194,19888.648,25169.52
Netherlands,"Gambia, The",Export,Food Products,Export (US$ Thousand),2897.459,869.383,714.603,990.042,885.684,1533.301,2393.104,2578.537,2294.841,3210.372,3830.191,4558.048,5770.133,5189.823,5972.646,9317.362,8997.678,10076.73,10432.785,14610.215,12420.338,11791.667
Netherlands,Georgia,Export,Food Products,Export (US$ Thousand),1352.461,139.089,1077.753,2997.942,6465.888,7007.1,5132.156,510.384,798.085,2337.91,1414.355,1714.64,1954.479,2703.734,2883.303,2907.643,6258.295,5491.831,5520.121,6071.073,6956.159,8558.33
Netherlands,Germany,Export,Food Products,Export (US$ Thousand),2672565.728,2850138.968,3054571.608,3462776.576,3234071.296,2900170.272,2363503.744,2649295.492,2256227.646,2336205.173,2510463.572,3303645.058,3734933.083,3872829.347,3947025.727,4783085.772,6185947.251,6238095.751,6213415.309,8284789.003,7398049.256,8106154.255
Netherlands,Ghana,Export,Food Products,Export (US$ Thousand),3570.458,3289.851,2523.656,3075.193,2872.99,4806.097,2953.145,3043.026,2447.646,3660.936,3275.598,3610.246,5319.768,6317.831,8137.324,10558.397,13565.776,14664.418,15001.938,19351.421,25717.549,31431.289
Netherlands,Gibraltar,Export,Food Products,Export (US$ Thousand),2864.918,2461.72,2930.643,3916.292,3307.685,2207.648,1402.827,1722.564,1744.374,1202.099,1045.887,1870.722,12627.608,7480.661,1856.873,2158.081,2936.844,4427.231,6132.875,12841.328,34939.7,41970.975
Netherlands,Greece,Export,Food Products,Export (US$ Thousand),198198.008,188707.905,230830.007,276568.031,238659.76,218507.158,233317.569,229595.232,208968.556,177081.954,203104.059,226166.279,242550.856,220753.483,233334.038,273859.372,324525.045,327962.535,302590.596,304781.082,268189.507,320491.54
Netherlands,Greenland,Export,Food Products,Export (US$ Thousand),3.773,11.365,12.553,29.481,,33.845,12.119,,16.569,10.749,,7.917,12.44,23.63,16.333,28.83,10.315,13.953,416.462,290.124,524.301,1366.935
Netherlands,Grenada,Export,Food Products,Export (US$ Thousand),26.72,13.892,21.179,13.754,9.171,27.688,14.137,58.482,39.582,23.29,34.958,22.62,192.836,147.997,167.093,138.656,72.205,37.672,30.505,68.848,160.709,166.866
Netherlands,Guadeloupe,Export,Food Products,Export (US$ Thousand),8383.507,9305.028,9795.898,9164.306,,,,,,,,,,,,,,,,,,
Netherlands,Guam,Export,Food Products,Export (US$ Thousand),,,,,,,,,,150.486,300.444,357.405,386.915,211.424,128.146,190.823,639.534,560.904,725.495,943.173,1134.875,1063.191
Netherlands,Guatemala,Export,Food Products,Export (US$ Thousand),1616.421,1329.065,1934.292,2913.521,2426.473,2138.955,1661.403,2947.341,3838.542,4344.394,4231.729,3732.395,4182.663,5827.827,7583.278,6979.442,6781.415,4351.887,4829.11,6612.35,7126.74,11208.418
Netherlands,Guinea,Export,Food Products,Export (US$ Thousand),3872.277,2778.85,3333.232,2888.878,1803.705,1699.975,1108.936,1539.881,1199.43,2116.661,4396.122,1582.31,2146.071,2719.901,2951.147,3661.326,3927.09,3357.049,5658.057,6240.593,8499.656,11582.022
Netherlands,Guinea-Bissau,Export,Food Products,Export (US$ Thousand),338.024,444.426,564.636,506.272,450.406,1402.028,448.925,565.973,413.311,378.007,460.114,651.473,1127.154,1178.998,1405.846,3364.794,3832.781,2501.742,3275.996,4601.13,4134.67,4142.543
